,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height
129,layer3.10.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.25%,2052096,0.765,14
130,layer3.10.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
131,layer3.10.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.53%,2760704,0.191,14
132,layer3.10.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
133,layer3.10.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.32%,2052096,0.191,14
134,layer3.10.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
135,layer3.10.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
136,layer3.11.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.25%,2052096,0.765,14
137,layer3.11.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
138,layer3.11.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.53%,2760704,0.191,14
139,layer3.11.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
140,layer3.11.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.04%,2052096,0.191,14
141,layer3.11.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
142,layer3.11.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
143,layer3.12.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
144,layer3.12.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
145,layer3.12.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.51%,2760704,0.191,14
146,layer3.12.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
147,layer3.12.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.27%,2052096,0.191,14
148,layer3.12.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
149,layer3.12.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
150,layer3.13.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
151,layer3.13.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
152,layer3.13.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.27%,2760704,0.191,14
153,layer3.13.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
154,layer3.13.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.27%,2052096,0.191,14
155,layer3.13.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
156,layer3.13.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
157,layer3.14.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.25%,2052096,0.765,14
158,layer3.14.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
159,layer3.14.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.27%,2760704,0.191,14
160,layer3.14.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
161,layer3.14.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.00%,2052096,0.191,14
162,layer3.14.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.06%,1613824,0.765,14
163,layer3.14.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
164,layer3.15.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.24%,2052096,0.765,14
165,layer3.15.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
166,layer3.15.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.27%,2760704,0.191,14
167,layer3.15.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
168,layer3.15.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.53%,2052096,0.191,14
169,layer3.15.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.27%,1613824,0.765,14
170,layer3.15.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
171,layer3.16.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
172,layer3.16.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
173,layer3.16.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.55%,2760704,0.191,14
174,layer3.16.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
175,layer3.16.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.29%,2052096,0.191,14
176,layer3.16.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
177,layer3.16.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
178,layer3.17.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
179,layer3.17.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
180,layer3.17.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.27%,2760704,0.191,14
181,layer3.17.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
182,layer3.17.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.27%,2052096,0.191,14
183,layer3.17.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
184,layer3.17.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
185,layer3.18.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
186,layer3.18.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
187,layer3.18.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.27%,2760704,0.191,14
188,layer3.18.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
189,layer3.18.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.48%,2052096,0.191,14
190,layer3.18.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
191,layer3.18.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
192,layer3.19.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.54%,2052096,0.765,14
193,layer3.19.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
194,layer3.19.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.53%,2760704,0.191,14
195,layer3.19.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
196,layer3.19.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.27%,2052096,0.191,14
197,layer3.19.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
198,layer3.19.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.27%,1605632,0.765,14
199,layer3.20.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.00%,2052096,0.765,14
200,layer3.20.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
201,layer3.20.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.27%,2760704,0.191,14
202,layer3.20.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
203,layer3.20.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.27%,2052096,0.191,14
204,layer3.20.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
205,layer3.20.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
206,layer3.21.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.28%,2052096,0.765,14
207,layer3.21.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
208,layer3.21.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.53%,2760704,0.191,14
209,layer3.21.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
210,layer3.21.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.53%,2052096,0.191,14
211,layer3.21.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
212,layer3.21.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
213,layer3.22.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
214,layer3.22.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
215,layer3.22.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.53%,2760704,0.191,14
