,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height
26,layer1.2.relu,256  56  56,256  56  56,0,3.06,"802,816.00","802,816.00",3211264,3211264,0.00%,6422528,3.06,56
27,layer2.0.conv1,256  56  56,128  56  56,32768,1.53,"205,119,488.00","102,760,448.00",3342336,1605632,0.80%,4947968,3.06,56
28,layer2.0.bn1,128  56  56,128  56  56,256,1.53,"1,605,632.00","802,816.00",1606656,1605632,0.06%,3212288,1.53,56
29,layer2.0.conv2,128  56  56,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",2195456,401408,0.34%,2596864,1.53,56
30,layer2.0.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
31,layer2.0.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.27%,2269184,0.383,28
32,layer2.0.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.27%,3215360,1.53,28
33,layer2.0.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
34,layer2.0.downsample.0,256  56  56,512  28  28,131072,1.53,"205,119,488.00","102,760,448.00",3735552,1605632,2.14%,5341184,1.53,56
35,layer2.0.downsample.1,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
36,layer2.1.conv1,512  28  28,128  28  28,65536,0.38,"102,660,096.00","51,380,224.00",1867776,401408,0.27%,2269184,1.53,28
37,layer2.1.bn1,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
38,layer2.1.conv2,128  28  28,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",991232,401408,0.36%,1392640,0.383,28
39,layer2.1.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
40,layer2.1.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.29%,2269184,0.383,28
41,layer2.1.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
42,layer2.1.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
43,layer2.2.conv1,512  28  28,128  28  28,65536,0.38,"102,660,096.00","51,380,224.00",1867776,401408,0.27%,2269184,1.53,28
44,layer2.2.bn1,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
45,layer2.2.conv2,128  28  28,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",991232,401408,0.35%,1392640,0.383,28
46,layer2.2.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.18%,803840,0.383,28
47,layer2.2.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.46%,2269184,0.383,28
48,layer2.2.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
49,layer2.2.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
50,layer2.3.conv1,512  28  28,128  28  28,65536,0.38,"102,660,096.00","51,380,224.00",1867776,401408,0.00%,2269184,1.53,28
51,layer2.3.bn1,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
52,layer2.3.conv2,128  28  28,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",991232,401408,0.27%,1392640,0.383,28
53,layer2.3.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
54,layer2.3.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.37%,2269184,0.383,28
55,layer2.3.bn3,512  28  28,512  28  28,1024,1.53,"1,605,632.00","802,816.00",1609728,1605632,0.00%,3215360,1.53,28
56,layer2.3.relu,512  28  28,512  28  28,0,1.53,"401,408.00","401,408.00",1605632,1605632,0.00%,3211264,1.53,28
57,layer3.0.conv1,512  28  28,256  28  28,131072,0.77,"205,320,192.00","102,760,448.00",2129920,802816,0.53%,2932736,1.53,28
58,layer3.0.bn1,256  28  28,256  28  28,512,0.77,"802,816.00","401,408.00",804864,802816,0.00%,1607680,0.765,28
59,layer3.0.conv2,256  28  28,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",3162112,200704,0.53%,3362816,0.765,28
60,layer3.0.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
61,layer3.0.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.54%,2052096,0.191,14
62,layer3.0.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
63,layer3.0.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
64,layer3.0.downsample.0,512  28  28,1024  14  14,524288,0.77,"205,320,192.00","102,760,448.00",3702784,802816,1.11%,4505600,0.765,28
65,layer3.0.downsample.1,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.10%,1613824,0.765,14
66,layer3.1.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.14%,2052096,0.765,14
67,layer3.1.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.28%,403456,0.191,14
68,layer3.1.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.23%,2760704,0.191,14
69,layer3.1.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.27%,403456,0.191,14
70,layer3.1.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.27%,2052096,0.191,14
71,layer3.1.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
72,layer3.1.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
73,layer3.2.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.27%,2052096,0.765,14
74,layer3.2.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
75,layer3.2.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.41%,2760704,0.191,14
76,layer3.2.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
77,layer3.2.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.23%,2052096,0.191,14
78,layer3.2.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
79,layer3.2.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
80,layer3.3.conv1,1024  14  14,256  14  14,262144,0.19,"102,710,272.00","51,380,224.00",1851392,200704,0.30%,2052096,0.765,14
81,layer3.3.bn1,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
82,layer3.3.conv2,256  14  14,256  14  14,589824,0.19,"231,160,832.00","115,605,504.00",2560000,200704,0.50%,2760704,0.191,14
